year,State Code,state_name,Dist Name,Crop,area_1000_ha,production_1000_tons,yield_kg_per_ha
2012,14,CHHATTISGARH,Raipur,SUNFLOWER,0.49,0.35,714.29
2012,14,CHHATTISGARH,Raipur,WHEAT,9.76,17.75,1818.65
2013,14,CHHATTISGARH,Raipur,COTTON,0,0,0
2013,14,CHHATTISGARH,Raipur,GROUNDNUT,6.4,9.38,1465.62
2013,14,CHHATTISGARH,Raipur,OILSEEDS,13.69,12.89,941.56
2013,14,CHHATTISGARH,Raipur,RAPESEED AND MUSTARD,2.53,1.45,573.12
2013,14,CHHATTISGARH,Raipur,RICE,1009.22,1749.21,1733.23
2013,14,CHHATTISGARH,Raipur,SAFFLOWER,0.13,0.03,230.77
2013,14,CHHATTISGARH,Raipur,SESAMUM,2.07,0.57,275.36
2013,14,CHHATTISGARH,Raipur,SOYABEAN,0.35,0.57,1628.57
2013,14,CHHATTISGARH,Raipur,SUGARCANE,0.23,0.08,347.83
2013,14,CHHATTISGARH,Raipur,SUNFLOWER,0.48,0,0
2013,14,CHHATTISGARH,Raipur,WHEAT,9.21,15.86,1722.04
2014,14,CHHATTISGARH,Raipur,COTTON,0,0,0
2014,14,CHHATTISGARH,Raipur,GROUNDNUT,6.28,8.26,1315.29
2014,14,CHHATTISGARH,Raipur,OILSEEDS,14.76,12.53,848.92
2014,14,CHHATTISGARH,Raipur,RAPESEED AND MUSTARD,3.03,1.65,544.55
2014,14,CHHATTISGARH,Raipur,RICE,1034.99,2127.73,2055.8
2014,14,CHHATTISGARH,Raipur,SAFFLOWER,0.9,0.26,288.89
2014,14,CHHATTISGARH,Raipur,SESAMUM,2.04,0.89,436.27
2014,14,CHHATTISGARH,Raipur,SOYABEAN,0.42,0.47,1119.05
2014,14,CHHATTISGARH,Raipur,SUGARCANE,0.24,0.14,583.33
2014,14,CHHATTISGARH,Raipur,SUNFLOWER,0.59,0.32,542.37
2014,14,CHHATTISGARH,Raipur,WHEAT,10.38,21.24,2046.24
2015,14,CHHATTISGARH,Raipur,COTTON,0.01,0,0
